Godina,Stopa nezaposlenosti ukupno,Stopa nezaposlenosti ukupno 15 do 24,Stopa nezaposlenosti ukupno 25 do 49,Stopa nezaposlenosti ukupno 50 do 64,Stopa nezaposlenosti ukupno 55 do 64,Stopa nezaposlenosti muškarci,Stopa nezaposlenosti muškarci 15 do 24,Stopa nezaposlenosti muškarci 25 do 49,Stopa nezaposlenosti muškarci 50 do 64,Stopa nezaposlenosti muškarci 55 do 64,Stopa nezaposlenosti žene,Stopa nezaposlenosti žene 15 do 24,Stopa nezaposlenost žene 25 do 49,Stopa nezaposlenosti žene 50 do 64,Stopa nezaposlenosti žene 55 do 64,Napomena
2012 Q3,14.8,37.1,14.5,9.5,(10.3),14.9,(35.6),14.9,(9.6),(10.7),14.6,(38.9),14.1,(9.3),((9.6)),Podaci su usklađeni prema Popisu 2021.
2012 Q4,18.1,49.6,17.6,10.6,(9.7),17.8,51.1,16.6,(10.8),((10.3)),18.5,(47.7),18.7,(10.1),((8.8)),Podaci su usklađeni prema Popisu 2021.
2013 Q1,17.9,58.6,16.7,9.9,(9.5),18.1,56.8,16.3,(10.9),(10.9),17.7,(61.4),17.1,(8.5),((7.4)),Podaci su usklađeni prema Popisu 2021.
2013 Q2,16.8,50.8,15.7,10.9,(11.2),17.8,(49.0),16.5,(12.3),(13.4),15.7,(53.7),14.9,(9.2),((8.0)),Podaci su usklađeni prema Popisu 2021.
2013 Q3,16.7,41.2,16.4,10.9,(10.5),17.4,(41.7),16.8,(12.1),(13.0),15.8,(40.5),15.9,(9.4),((6.9)),Podaci su usklađeni prema Popisu 2021.
2013 Q4,17.5,52.2,16.2,10.8,(8.5),17.4,(53.2),15.4,(11.0),((9.9)),17.7,(50.7),17.1,(10.6),((6.6)),Podaci su usklađeni prema Popisu 2021.
2014 Q1,18.7,50.6,17.3,12.0,(10.5),17.3,(52.1),15.7,(10.5),((10.8)),20.4,(49.0),19.1,(14.0),((9.9)),Podaci su usklađeni prema Popisu 2021.
2014 Q2,16.5,42.0,15.4,12.4,(10.7),14.9,40.5,13.2,11.6,((11.0)),18.3,(44.1),17.8,(13.3),((10.3)),Podaci su usklađeni prema Popisu 2021.
2014 Q3,15.4,40.3,13.6,11.8,(11.4),15.0,(38.2),12.8,(12.1),((11.8)),15.8,(43.3),14.4,(11.5),((10.9)),Podaci su usklađeni prema Popisu 2021.
2014 Q4,18.3,50.0,16.7,12.8,(13.7),18.0,50.1,16.1,(12.3),(13.8),18.6,(49.9),17.3,(13.6),((13.4)),Podaci su usklađeni prema Popisu 2021.
2015 Q1,17.8,44.8,17.1,12.1,(11.5),17.6,46.6,16.4,(12.0),(12.6),18.1,(42.3),17.9,(12.2),((9.6)),Podaci su usklađeni prema Popisu 2021.
2015 Q2,15.4,39.4,14.8,11.2,(9.8),15.3,(38.1),13.8,(12.4),(10.6),15.7,(41.3),15.8,(9.8),((8.7)),Podaci su usklađeni prema Popisu 2021.
2015 Q3,15.4,41.1,13.6,12.2,(12.7),14.4,(39.5),11.5,(12.7),(13.0),16.7,(43.1),15.8,(11.7),((12.3)),Podaci su usklađeni prema Popisu 2021.
2015 Q4,15.9,43.8,14.2,11.4,(12.1),14.5,(41.4),12.4,(10.7),(12.5),17.5,(46.9),16.1,(12.4),((11.6)),Podaci su usklađeni prema Popisu 2021.
2016 Q1,15.3,32.2,14.4,12.3,(12.6),15.7,(31.0),14.5,(13.6),(14.0),14.8,(34.0),14.3,(10.7),((10.7)),Podaci su usklađeni prema Popisu 2021.
2016 Q2,12.6,29.0,11.6,10.0,(9.8),12.3,(27.6),10.8,(10.8),((11.1)),13.0,(30.7),12.4,(9.1),((8.0)),Podaci su usklađeni prema Popisu 2021.
2016 Q3,10.9,27.6,9.6,(8.4),(7.9),9.9,(28.3),(7.7),(8.4),((9.7)),12.2,((26.6)),(11.6),((8.5)),((5.4)),Podaci su usklađeni prema Popisu 2021.
2016 Q4,13.3,35.4,12.0,(9.2),(8.4),11.9,(36.7),(9.7),(8.2),(10.3),14.9,((33.5)),14.5,(10.6),((5.7)),Podaci su usklađeni prema Popisu 2021.
2017 Q1,13.9,34.6,12.0,11.9,(12.8),13.1,(33.7),11.2,(10.5),((10.3)),14.9,((35.8)),12.8,(13.6),((16.7)),Podaci su usklađeni prema Popisu 2021.
2017 Q2,10.8,(19.9),11.1,(7.7),(8.2),10.0,((21.6)),(9.9),((6.9)),((7.1)),11.8,((17.7)),12.4,((8.7)),((9.7)),Podaci su usklađeni prema Popisu 2021.
2017 Q3,8.8,(22.6),8.9,(4.0),((4.0)),8.1,(22.1),(7.9),((3.8)),((4.6)),9.6,((23.3)),(10.0),((4.2)),((3.4)),Podaci su usklađeni prema Popisu 2021.
2017 Q4,10.8,(33.5),9.8,(6.6),((5.7)),10.6,(33.2),(9.5),((5.9)),((6.7)),11.0,((33.9)),(10.2),((7.4)),((4.2)),Podaci su usklađeni prema Popisu 2021.
2018 Q1,10.3,(28.9),10.0,(5.8),((4.6)),9.4,((23.0)),9.5,((5.4)),((5.6)),11.2,((37.0)),(10.5),((6.2)),((3.2)),Podaci su usklađeni prema Popisu 2021.
2018 Q2,7.5,(21.4),7.1,(4.8),((4.4)),6.6,((15.2)),(6.2),((5.3)),((5.0)),8.6,((29.1)),(8.2),((4.3)),((3.5)),Podaci su usklađeni prema Popisu 2021.
2018 Q3,7.1,(19.8),6.8,(4.2),((4.1)),6.3,((16.3)),(6.2),((3.3)),((3.4)),8.1,((24.5)),(7.4),((5.3)),((4.9)),Podaci su usklađeni prema Popisu 2021.
2018 Q4,8.4,(24.1),8.2,(4.4),((4.9)),7.6,(22.6),(7.0),((4.1)),((4.6)),9.3,((26.4)),(9.5),((4.8)),((5.3)),Podaci su usklađeni prema Popisu 2021.
2019 Q1,7.5,(21.1),7.6,((3.4)),((3.2)),6.2,((18.8)),(5.7),((3.6)),((3.0)),9.0,((24.3)),(9.7),((3.2)),((3.5)),Podaci su usklađeni prema Popisu 2021.
2019 Q2,6.0,((9.5)),6.8,((3.6)),((3.0)),5.1,((8.5)),(5.7),((3.0)),((2.2)),7.0,((11.3)),(8.0),((4.2)),((4.0)),Podaci su usklađeni prema Popisu 2021.
2019 Q3,5.5,(13.8),5.6,((2.9)),((2.8)),(5.7),((13.6)),(5.9),((2.8)),.,(5.3),((14.0)),(5.3),((3.1)),((4.3)),Podaci su usklađeni prema Popisu 2021.
2019 Q4,7.2,(21.6),6.8,(4.3),((5.3)),7.4,((19.7)),(6.8),((5.1)),((4.8)),7.0,((24.4)),(6.7),((3.5)),((5.9)),Podaci su usklađeni prema Popisu 2021.
2020Q1,6.9,(19.1),7.0,((3.6)),((4.0)),6.5,((18.8)),(6.3),((3.5)),((3.5)),7.4,((19.7)),(7.9),((3.6)),((4.6)),Podaci su usklađeni prema Popisu 2021.
2020Q2,6.4,(19.7),6.1,(4.1),((4.6)),6.1,((15.7)),(6.0),((3.9)),((4.6)),6.8,((26.1)),(6.1),((4.3)),((4.7)),Podaci su usklađeni prema Popisu 2021.
2020Q3,7.2,(21.8),6.5,(4.6),((4.3)),7.2,((19.7)),(6.4),((4.7)),((3.4)),7.2,((25.4)),(6.6),((4.5)),((5.5)),Podaci su usklađeni prema Popisu 2021.
2020Q4,9.0,(21.9),8.8,(5.8),((6.1)),9.4,(20.0),(8.9),((6.8)),((5.7)),8.6,((25.0)),(8.7),((4.8)),((6.6)),Podaci su usklađeni prema Popisu 2021.
2021Q1,10.0,(27.7),9.5,(6.3),((6.1)),9.6,(22.4),(10.0),((5.3)),((5.2)),10.4,(34.2),(9.0),((7.3)),((7.2)),Podaci su usklađeni prema Popisu 2021.
2021Q2,7.7,(21.6),7.0,(5.3),((4.3)),7.5,((20.7)),(7.1),((4.4)),((3.6)),7.9,((22.9)),(6.9),((6.4)),((5.2)),Podaci su usklađeni prema Popisu 2021.
2021Q3,6.0,(16.9),5.9,(3.9),((3.4)),5.8,((16.3)),(5.2),((3.9)),((3.3)),6.3,((18.1)),(6.5),((3.8)),((3.5)),Podaci su usklađeni prema Popisu 2021.
2021Q4,6.2,(19.6),5.7,(3.9),((2.9)),5.4,((14.3)),(4.9),((4.0)),((3.7)),7.2,((28.3)),(6.6),((3.7)),((2.0)),Podaci su usklađeni prema Popisu 2021.
2022Q1,7.0,(15.3),6.5,(5.9),(5.0),6.2,((13.0)),(6.0),((4.9)),((4.8)),7.9,((18.5)),(7.2),(7.0),((5.1)),Podaci su usklađeni prema Popisu 2021.
2022Q2,7.0,(18.2),6.4,(5.4),(4.9),6.2,((14.2)),(6.0),((4.6)),((5.1)),7.9,((23.7)),(6.9),(6.4),((4.8)),Podaci su usklađeni prema Popisu 2021.
2022Q3,6.4,(20.5),5.6,(4.7),(4.8),5.1,((19.0)),(3.8),((4.0)),((4.2)),7.9,((22.7)),(7.7),(5.5),((5.4)),Podaci su usklađeni prema Popisu 2021.
2022Q4,6.8,(17.1),6.7,(4.7),(4.3),6.0,((12.6)),(6.1),((4.0)),((3.3)),7.7,((24.1)),(7.3),(5.4),((5.4)),Podaci su usklađeni prema Popisu 2021.
2023Q1,7.4,(20.7),6.7,(6,0),(5,3),7.2,((17,7)),(6,7),(5,7),((4,8)),7.5,((25,2)),(6,6),(6,3),((6.0)),Podaci su usklađeni prema Popisu 2021.
2023Q2,5.6,(17.8),4.9,(4,5),((4,2)),5.0,((14,7)),((4,3)),((3,9)),((4,0)),6.4,((23,4)),(5,6),(5,2),((4.5)),Podaci su usklađeni prema Popisu 2021.
2023Q3,5.5,(17.3),5.0,(4,1),((4,2)),4.8,((16,3)),(3,9),((3,5)),((3,6)),6.4,((18,9)),(6,2),((4,7)),((4,8)),Podaci su usklađeni prema Popisu 2021.
2023Q4,6.0,(20.0),5.2,(4,5),((3,8)),5.7,((19,7)),(4,8),((3,9)),((2,7)),6.4,((20,4)),(5,6),(5,1),((5,0)),Podaci su usklađeni prema Popisu 2021.
2024Q1,5.6,(17.9),4.6,(4,6),(4,7),5.2,((15,7)),(4,3),((4,5)),((4,2)),6.0,((21,1)),(5,0),(4,8),((5,3)),Podaci su usklađeni prema Popisu 2021.
2024Q2,4.6,((12.3)),4.5,(3,2),((4,0)),(4.1),((10,5)),(4,3),((2.2)),((2,6)),5.1,((15.2)),(4,7),((4,2)),((5,3)),Podaci su usklađeni prema Popisu 2021.
2024Q3,5.0,(17.6),4.6,((2.8)),((2,5)),5.6,((19,0)),(5,5),((2.1)),.,4.2,((15.3)),(3,7),((3,5)),((3.2)),Podaci su usklađeni prema Popisu 2021.
2024Q4,5.0,(19.1),4.4,(3,0),((2,2)),5.2,((18,1)),(4,7),((2.8)),.,4.8,((20,6)),(4,1),((3,2)),((2.7)),Podaci su usklađeni prema Popisu 2021.
2025Q1,5.5,(17.4),4.9,(4,2),(4,6),5.4,((14,6)),(4,7),((4,7)),((5.0)),5.7,((21,5)),(5,1),((3,8)),((4.2)),Podaci su usklađeni prema Popisu 2021.
